session,mouse,diff_real,eta2_real,p_real,diff_shuf,eta2_shuf,p_shuf
NOF_H06_1D,H06,-3.9143,0.1476,5.0188e-04,-0.7110,0.0029,4.2621e-01
NOF_H03_1D,H03,-2.7655,0.1911,9.6443e-04,-1.5189,0.0334,1.2574e-01
NOF_H14_1D,H14,-2.4668,0.0790,7.8022e-04,-0.5864,0.0372,1.2817e-01
NOF_H07_1D,H07,-2.4386,0.2379,3.0736e-05,-0.1667,0.0017,3.5996e-01
NOF_H31_1D,H31,-1.8957,0.4063,1.2151e-05,0.8378,0.0382,8.9002e-01
NOF_H33_1D,H33,-1.6732,0.5193,7.3446e-09,0.2562,0.0031,3.8162e-01
NOF_H02_1D,H02,-1.6155,0.1844,1.8016e-03,-0.3795,0.0001,4.7363e-01
NOF_H23_1D,H23,-1.5213,0.0894,3.2094e-02,1.6913,0.0660,9.3240e-01
NOF_H01_1D,H01,-1.3116,0.1964,9.1124e-04,-0.4737,0.0217,1.6624e-01
NOF_H32_1D,H32,-1.0612,0.4484,6.8872e-06,0.0058,0.0001,4.8620e-01
NOF_H09_1D,H09,-1.0460,0.1325,1.1535e-03,-0.4944,0.0109,2.6916e-01
NOF_H39_1D,H39,-0.9384,0.2966,1.8643e-06,0.1589,0.0318,9.2784e-01
NOF_H36_1D,H36,-0.9038,0.1090,2.8603e-03,0.2801,0.0017,6.2502e-01
NOF_H27_1D,H27,-0.6726,0.1869,2.1572e-03,-0.5690,0.0935,5.6992e-03
NOF_H08_1D,H08,-0.1889,0.0458,1.6823e-01,0.1421,0.0189,7.5003e-01
NOF_H26_1D,H26,1.3017,0.0701,9.1855e-01,-1.1441,0.0742,3.7468e-02
