session,n,r_ed_pc1,p_ed_pc1,r_ed_det,p_ed_det,r_ed_speed,p_ed_speed
NOF_H01_1D,46,-0.2776,6.1811e-02,-0.1838,2.2141e-01,0.0527,7.2797e-01
NOF_H02_1D,46,-0.5858,1.8917e-05,-0.4989,4.1703e-04,0.5884,1.7043e-05
NOF_H03_1D,46,-0.0014,9.9260e-01,0.0638,6.7350e-01,0.3941,6.7351e-03
NOF_H06_1D,69,0.4952,1.5184e-05,0.4882,2.0837e-05,-0.7026,1.7110e-11
NOF_H07_1D,70,-0.1587,1.8956e-01,-0.1640,1.7488e-01,0.0892,4.6285e-01
NOF_H08_1D,70,-0.1554,1.9880e-01,-0.2301,5.5328e-02,-0.0062,9.5922e-01
NOF_H09_1D,70,0.1366,2.5962e-01,0.1639,1.7522e-01,-0.4591,6.3940e-05
NOF_H14_1D,70,0.2036,9.0980e-02,0.1464,2.2666e-01,-0.0413,7.3442e-01
NOF_H23_1D,46,-0.0226,8.8134e-01,-0.0442,7.7063e-01,-0.0908,5.4850e-01
NOF_H26_1D,46,0.2446,1.0135e-01,0.2123,1.5673e-01,0.5933,1.3895e-05
NOF_H27_1D,70,0.1065,3.8035e-01,0.1194,3.2489e-01,-0.1784,1.3949e-01
NOF_H31_1D,46,0.2631,7.7271e-02,0.1281,3.9630e-01,-0.2088,1.6370e-01
NOF_H32_1D,46,0.1286,3.9443e-01,0.1891,2.0804e-01,-0.2654,7.4668e-02
NOF_H33_1D,69,0.3283,5.8874e-03,0.1901,1.1770e-01,-0.4114,4.4513e-04
NOF_H36_1D,70,-0.0066,9.5685e-01,-0.1519,2.0940e-01,-0.3544,2.6131e-03
NOF_H39_1D,70,0.5169,4.6137e-06,0.4125,3.8747e-04,-0.4416,1.2974e-04
