session,n,n_edges_r,n_edges_s,layout_time,r_mantel_p,r_mantel_s,r_procr,r_knn_err,s_mantel_p,s_mantel_s,s_procr,s_knn_err,baseline_err
NOF_H01_1D,2358,17205,17425,10.061420202255249,0.24709852712130337,0.3423196752734492,0.700403643541266,11.162426425523853,-0.0024855589525139992,-0.004081658386128158,0.9952520439535326,18.2394838548229,17.52724309833261
NOF_H02_1D,2358,15940,28857,10.709883213043213,0.1809051273632332,0.4141894780650304,0.7590697545187117,10.578534933532131,0.004182029668324309,0.0032582188514562265,0.980253211250763,18.14076101701978,17.882905874975002
NOF_H03_1D,2350,15715,21133,10.475421667098999,0.06710876741685233,0.13749975844606946,0.8556355693764779,12.778064644972188,0.011156674511363054,0.011332209400904377,0.9944498369208679,16.43774381653331,16.097531107882457
NOF_H06_1D,3548,35321,73147,19.051164388656616,0.025610196712709123,0.03862794832829097,0.9446873748050623,8.800397861365921,0.14898518869387073,0.16350747350426403,0.9873348221103464,10.224894946797459,11.993061093098435
NOF_H07_1D,3553,26000,39646,17.913317680358887,0.2919450241498302,0.27982945964067896,0.640477012123267,13.058623784097076,0.023132967172769043,0.022192127385788706,0.9980042644157501,17.997389574174846,17.683623451344292
NOF_H08_1D,3552,24764,39294,16.90244960784912,0.11808089673738242,0.12085778317938403,0.8811313636759897,15.006928243215121,0.003301726255310784,0.0037996863587921466,0.9989425874736422,17.711821884291542,17.28547217135683
NOF_H09_1D,3555,22880,25813,18.704309225082397,0.1862230296166519,0.2834066707994744,0.8609273716979441,11.8729670039484,0.031640091109881786,0.028987382394778625,0.9875455222198393,15.760480723433107,15.48930369765363
NOF_H14_1D,3552,38246,57097,17.112470388412476,0.14519491156015044,0.15817887455382804,0.8277069004207017,13.065357311969823,0.028578980208614182,0.025287189664452026,0.9946602469004413,16.467973555089085,16.464640127118347
NOF_H23_1D,2358,14760,17016,11.689220905303955,0.1724309213246268,0.3748199223243226,0.7751868195768242,10.712293683787932,0.00578328809728595,0.0064046249097057355,0.9974580447029917,17.379318178033223,17.071761661220453
NOF_H26_1D,2354,16058,26396,10.936249494552612,0.04900113754883632,0.10329694531704335,0.9346895904868185,15.299240356654533,0.006791342167915788,0.006856000676253267,0.9888536845321916,18.62406064142757,18.154351862539457
NOF_H27_1D,3550,30953,73266,16.68373417854309,0.20338180427720076,0.20543245181963865,0.7282329509913336,11.246122543555542,0.006527319337064483,0.006703491604735712,0.9878281201945415,16.44940715283644,15.695083796946886
NOF_H31_1D,2358,15513,16021,17.587412357330322,-0.02126304048416037,0.10890184165491038,0.9721830708074948,7.352996277531391,0.019366687542179847,0.02467396610821073,0.997067730935416,14.787704255165146,17.440940172111628
NOF_H32_1D,2352,16056,18912,13.521101713180542,0.12780458042569073,0.37321954406590085,0.8725826193960093,9.860541939837118,0.07980447097966346,0.0830054836032298,0.9655901428331093,16.22225410099191,17.983903194213045
NOF_H33_1D,3548,24227,31091,22.887474060058594,0.12516721988707655,0.2397785519769572,0.827194483297329,10.435637787375455,0.037593859290017274,0.03586011444040675,0.9811638651606853,16.341680092694578,17.759270456478877
NOF_H36_1D,3550,31136,43511,20.39580464363098,0.05876678206583474,0.07979777460353367,0.8802929708699805,13.52141371354288,-0.008269136340710864,-0.007710397755189181,0.993036397353248,16.387778674750614,16.378678392859143
NOF_H39_1D,3554,22868,26803,37.080265283584595,0.13580963199409238,0.4616662911823909,0.8536581849502436,6.552855229314155,0.06653371337462421,0.07123858339613022,0.9664876491856474,13.866319157871365,15.830041759456554
