session,metric,r_real,p_real,r_shuf,p_shuf
NOF_H01_1D,DET,-0.4056,5.1667e-03,-0.2878,5.2472e-02
NOF_H01_1D,LAM,-0.5204,2.0947e-04,-0.3257,2.7166e-02
NOF_H01_1D,ENTR,-0.4967,4.4649e-04,-0.1979,1.8747e-01
NOF_H01_1D,TT,-0.5087,3.0640e-04,-0.2003,1.8192e-01
NOF_H01_1D,L_mean,-0.4936,4.9000e-04,-0.1714,2.5467e-01
NOF_H01_1D,L_max,-0.4257,3.1864e-03,-0.0464,7.5962e-01
NOF_H01_1D,DIV,0.2827,5.6914e-02,-0.0724,6.3258e-01
NOF_H02_1D,DET,-0.5144,2.5521e-04,0.1544,3.0572e-01
NOF_H02_1D,LAM,-0.5884,1.7061e-05,0.1176,4.3640e-01
NOF_H02_1D,ENTR,-0.5190,2.1917e-04,0.0798,5.9786e-01
NOF_H02_1D,TT,-0.5104,2.9046e-04,0.0764,6.1385e-01
NOF_H02_1D,L_mean,-0.5106,2.8848e-04,0.1439,3.3995e-01
NOF_H02_1D,L_max,-0.4060,5.1166e-03,0.2034,1.7523e-01
NOF_H02_1D,DIV,0.2987,4.3739e-02,-0.0887,5.5785e-01
NOF_H03_1D,DET,-0.4122,4.4188e-03,-0.0725,6.3211e-01
NOF_H03_1D,LAM,-0.4909,5.3270e-04,-0.0969,5.2169e-01
NOF_H03_1D,ENTR,-0.4032,5.4667e-03,-0.0139,9.2718e-01
NOF_H03_1D,TT,-0.3777,9.6668e-03,-0.1931,1.9849e-01
NOF_H03_1D,L_mean,-0.3248,2.7663e-02,-0.0399,7.9235e-01
NOF_H03_1D,L_max,-0.3197,3.0302e-02,-0.2566,8.5181e-02
NOF_H03_1D,DIV,0.3278,2.6145e-02,0.1652,2.7265e-01
NOF_H06_1D,DET,-0.5346,2.2230e-06,0.0287,8.1482e-01
NOF_H06_1D,LAM,-0.5656,4.1066e-07,0.0385,7.5344e-01
NOF_H06_1D,ENTR,-0.4737,3.9444e-05,0.0434,7.2334e-01
NOF_H06_1D,TT,-0.4951,1.5235e-05,0.0083,9.4577e-01
NOF_H06_1D,L_mean,-0.4302,2.2466e-04,0.0041,9.7303e-01
NOF_H06_1D,L_max,-0.4015,6.2790e-04,-0.0343,7.7962e-01
NOF_H06_1D,DIV,0.3859,1.0568e-03,-0.0342,7.8042e-01
NOF_H07_1D,DET,-0.4208,2.8633e-04,0.1058,3.8348e-01
NOF_H07_1D,LAM,-0.4940,1.3841e-05,0.0220,8.5644e-01
NOF_H07_1D,ENTR,-0.4538,7.9691e-05,-0.0119,9.2234e-01
NOF_H07_1D,TT,-0.4415,1.3021e-04,0.0685,5.7328e-01
NOF_H07_1D,L_mean,-0.4236,2.5806e-04,0.0370,7.6103e-01
NOF_H07_1D,L_max,-0.4424,1.2588e-04,0.0710,5.5938e-01
NOF_H07_1D,DIV,0.3618,2.0901e-03,-0.0075,9.5100e-01
NOF_H08_1D,DET,-0.2915,1.4351e-02,-0.0524,6.6635e-01
NOF_H08_1D,LAM,-0.3408,3.8908e-03,0.0041,9.7298e-01
NOF_H08_1D,ENTR,-0.2816,1.8175e-02,-0.0331,7.8571e-01
NOF_H08_1D,TT,-0.3850,9.9806e-04,-0.0621,6.0935e-01
NOF_H08_1D,L_mean,-0.3379,4.2283e-03,-0.0602,6.2035e-01
NOF_H08_1D,L_max,-0.4157,3.4513e-04,-0.0349,7.7443e-01
NOF_H08_1D,DIV,0.3133,8.2580e-03,0.0292,8.1009e-01
NOF_H09_1D,DET,-0.4859,2.0053e-05,-0.0888,4.6494e-01
NOF_H09_1D,LAM,-0.5506,7.8936e-07,-0.0529,6.6355e-01
NOF_H09_1D,ENTR,-0.4559,7.3040e-05,-0.0865,4.7629e-01
NOF_H09_1D,TT,-0.3592,2.2591e-03,-0.1486,2.1965e-01
NOF_H09_1D,L_mean,-0.3128,8.3763e-03,-0.1000,4.1023e-01
NOF_H09_1D,L_max,-0.3646,1.9169e-03,-0.1261,2.9815e-01
NOF_H09_1D,DIV,0.3751,1.3747e-03,0.0114,9.2524e-01
NOF_H14_1D,DET,-0.2232,6.3304e-02,-0.1050,3.8715e-01
NOF_H14_1D,LAM,-0.1952,1.0540e-01,-0.0725,5.5108e-01
NOF_H14_1D,ENTR,-0.2645,2.6935e-02,-0.0449,7.1229e-01
NOF_H14_1D,TT,-0.2766,2.0465e-02,-0.1109,3.6054e-01
NOF_H14_1D,L_mean,-0.2806,1.8630e-02,-0.0976,4.2146e-01
NOF_H14_1D,L_max,-0.3387,4.1249e-03,-0.1857,1.2375e-01
NOF_H14_1D,DIV,0.3166,7.5819e-03,0.1781,1.4019e-01
NOF_H23_1D,DET,-0.5908,1.5403e-05,0.1749,2.4488e-01
NOF_H23_1D,LAM,-0.5864,1.8470e-05,0.1858,2.1625e-01
NOF_H23_1D,ENTR,-0.4972,4.3990e-04,0.2964,4.5470e-02
NOF_H23_1D,TT,-0.4023,5.5828e-03,0.1186,4.3248e-01
NOF_H23_1D,L_mean,-0.4106,4.5930e-03,0.2953,4.6363e-02
NOF_H23_1D,L_max,-0.4821,6.9231e-04,0.3146,3.3227e-02
NOF_H23_1D,DIV,0.4781,7.7699e-04,-0.3112,3.5283e-02
NOF_H26_1D,DET,0.1338,3.7525e-01,-0.0843,5.7740e-01
NOF_H26_1D,LAM,0.1147,4.4800e-01,-0.1783,2.3569e-01
NOF_H26_1D,ENTR,0.1519,3.1350e-01,-0.1929,1.9906e-01
NOF_H26_1D,TT,0.1119,4.5915e-01,-0.0978,5.1779e-01
NOF_H26_1D,L_mean,0.0712,6.3831e-01,-0.1355,3.6919e-01
NOF_H26_1D,L_max,-0.0231,8.7897e-01,-0.2079,1.6558e-01
NOF_H26_1D,DIV,-0.0482,7.5018e-01,0.2236,1.3514e-01
NOF_H27_1D,DET,-0.5116,5.9958e-06,-0.2602,2.9588e-02
NOF_H27_1D,LAM,-0.5323,2.1079e-06,-0.3102,8.9728e-03
NOF_H27_1D,ENTR,-0.4917,1.5398e-05,-0.3265,5.8024e-03
NOF_H27_1D,TT,-0.4734,3.4967e-05,-0.3076,9.5857e-03
NOF_H27_1D,L_mean,-0.4124,3.8865e-04,-0.3524,2.7749e-03
NOF_H27_1D,L_max,-0.6270,6.3330e-09,-0.3599,2.2140e-03
NOF_H27_1D,DIV,0.4389,1.4453e-04,0.3464,3.3072e-03
NOF_H31_1D,DET,-0.6636,5.0027e-07,0.1385,3.5853e-01
NOF_H31_1D,LAM,-0.6745,2.7516e-07,0.1949,1.9426e-01
NOF_H31_1D,ENTR,-0.7191,1.8059e-08,0.2719,6.7577e-02
NOF_H31_1D,TT,-0.6767,2.4262e-07,0.3831,8.5865e-03
NOF_H31_1D,L_mean,-0.6827,1.7309e-07,0.3751,1.0212e-02
NOF_H31_1D,L_max,-0.7582,1.0407e-09,0.2746,6.4791e-02
NOF_H31_1D,DIV,0.7019,5.4725e-08,-0.2957,4.5993e-02
NOF_H32_1D,DET,-0.5342,1.3142e-04,0.0489,7.4686e-01
NOF_H32_1D,LAM,-0.5156,2.4562e-04,0.0304,8.4104e-01
NOF_H32_1D,ENTR,-0.5105,2.8912e-04,0.0936,5.3626e-01
NOF_H32_1D,TT,-0.5224,1.9577e-04,0.1084,4.7342e-01
NOF_H32_1D,L_mean,-0.5193,2.1757e-04,0.1099,4.6715e-01
NOF_H32_1D,L_max,-0.5932,1.3932e-05,0.0471,7.5574e-01
NOF_H32_1D,DIV,0.3222,2.8983e-02,0.0285,8.5085e-01
NOF_H33_1D,DET,-0.6457,2.0989e-09,0.0310,8.0042e-01
NOF_H33_1D,LAM,-0.6760,1.8539e-10,0.0144,9.0668e-01
NOF_H33_1D,ENTR,-0.7148,5.2374e-12,-0.0376,7.5925e-01
NOF_H33_1D,TT,-0.7514,1.0182e-13,-0.0208,8.6561e-01
NOF_H33_1D,L_mean,-0.7256,1.7539e-12,-0.0260,8.3224e-01
NOF_H33_1D,L_max,-0.7050,1.3574e-11,0.0429,7.2635e-01
NOF_H33_1D,DIV,0.5325,2.4858e-06,0.0001,9.9912e-01
NOF_H36_1D,DET,-0.2597,2.9931e-02,0.0497,6.8283e-01
NOF_H36_1D,LAM,-0.2837,1.7295e-02,0.1016,4.0269e-01
NOF_H36_1D,ENTR,-0.3287,5.4703e-03,-0.0299,8.0619e-01
NOF_H36_1D,TT,-0.4430,1.2296e-04,-0.0851,4.8350e-01
NOF_H36_1D,L_mean,-0.4255,2.4059e-04,-0.0756,5.3408e-01
NOF_H36_1D,L_max,-0.3858,9.7088e-04,0.0388,7.4959e-01
NOF_H36_1D,DIV,0.2904,1.4734e-02,-0.0677,5.7790e-01
NOF_H39_1D,DET,-0.5613,4.3210e-07,0.1314,2.7839e-01
NOF_H39_1D,LAM,-0.5952,5.4941e-08,0.0064,9.5783e-01
NOF_H39_1D,ENTR,-0.5241,3.2178e-06,0.0582,6.3200e-01
NOF_H39_1D,TT,-0.4877,1.8471e-05,0.1174,3.3300e-01
NOF_H39_1D,L_mean,-0.4690,4.2105e-05,0.0715,5.5646e-01
NOF_H39_1D,L_max,-0.5265,2.8481e-06,0.2782,1.9693e-02
NOF_H39_1D,DIV,0.5293,2.4664e-06,-0.2471,3.9163e-02
