sublayer,epoch,N_neurons,n_samples,H_raw,H_dequant,delta,n_eigs_kept_raw,n_eigs_kept_dequant,note
layer2.1.sn1,0,128,10000,104.37517124915352,147.67315774673887,43.29798649758534,128,128,
layer2.1.sn1,5,128,10000,257.8269530807255,272.38679865054365,14.559845569818151,128,128,
layer2.1.sn1,10,128,10000,280.502686328863,292.3331041439644,11.830417815101441,128,128,
layer2.1.sn1,20,128,10000,318.4964278868277,326.58012452660546,8.08369663977777,128,128,
layer2.1.sn1,30,128,10000,337.9373265846546,344.39629838176285,6.458971797108234,128,128,
layer2.1.sn1,40,128,10000,357.20001428535124,362.372537686644,5.1725234012927785,128,128,
layer2.1.sn1,50,128,10000,372.28057043762647,376.6169114852047,4.33634104757823,128,128,
layer2.1.sn1,60,128,10000,380.1761145112238,384.1012659838018,3.9251514725780225,128,128,
layer2.1.sn1,70,128,10000,391.18427227090234,394.6124791087618,3.428206837859477,128,128,
layer2.1.sn1,80,128,10000,399.73840868770867,402.8575037678007,3.119095080092052,128,128,
layer2.1.sn1,90,128,10000,396.2542522586666,399.455551132262,3.2012988735953627,128,128,
layer2.1.sn1,100,128,10000,405.73568627792633,408.55670870878293,2.821022430856601,128,128,
layer2.1.sn1,125,128,10000,410.720809613428,413.34081079865894,2.620001185230933,128,128,
layer2.1.sn1,150,128,10000,414.3038913465907,416.76065071114186,2.4567593645511465,128,128,
layer2.1.sn1,175,128,10000,415.21278514034645,417.6311748382722,2.418389697925761,128,128,
layer2.1.sn1,200,128,10000,423.07535090212184,425.26337500225145,2.18802410012961,128,128,
layer2.1.sn1,225,128,10000,426.03695151960676,428.1402952772495,2.103343757642733,128,128,
layer2.1.sn1,250,128,10000,419.5800960047627,421.8931380899487,2.313042085185998,128,128,
layer2.1.sn1,275,128,10000,424.6737913104214,426.8487986368676,2.1750073264462344,128,128,
layer2.1.sn1,300,128,10000,427.94696242576566,430.016634189571,2.0696717638053315,128,128,
layer2.1.sn1,400,128,10000,432.0128104942355,433.93638326775306,1.9235727735175487,128,128,
layer2.1.sn1,500,128,10000,432.87263415585323,434.7875843619159,1.914950206062656,128,128,
layer2.1.sn1,600,128,10000,431.3487852809071,433.29692909411773,1.9481438132106064,128,128,
layer2.1.sn1,700,128,10000,433.9275528023701,435.82382721217857,1.896274409808484,128,128,
layer2.1.sn1,800,128,10000,431.56907934959145,433.536228889228,1.96714953963658,128,128,
layer2.1.sn1,900,128,10000,431.61957872607525,433.5911861763509,1.9716074502756555,128,128,
layer2.1.sn2,0,128,10000,107.93202944981903,149.24697278341597,41.31494333359694,128,128,
layer2.1.sn2,5,128,10000,266.42291872122365,279.16698953394973,12.744070812726079,128,128,
layer2.1.sn2,10,128,10000,286.80512642850124,297.407061793922,10.601935365420786,128,128,
layer2.1.sn2,20,128,10000,317.21548630996534,325.07669574175816,7.861209431792815,128,128,
layer2.1.sn2,30,128,10000,330.1682702269344,336.9166649644853,6.748394737550882,128,128,
layer2.1.sn2,40,128,10000,347.3143247082279,352.9903389554424,5.676014247214482,128,128,
layer2.1.sn2,50,128,10000,358.01727103207963,363.120077925593,5.102806893513389,128,128,
layer2.1.sn2,60,128,10000,363.28313707552013,368.04903430146624,4.765897225946105,128,128,
layer2.1.sn2,70,128,10000,375.0231913632412,379.2282903937183,4.205099030477072,128,128,
layer2.1.sn2,80,128,10000,383.06270778056097,386.9159260361524,3.8532182555914574,128,128,
layer2.1.sn2,90,128,10000,385.82816319292795,389.5263490921135,3.698185899185546,128,128,
layer2.1.sn2,100,128,10000,393.46362708206254,396.8368327034185,3.3732056213559645,128,128,
layer2.1.sn2,125,128,10000,400.14434386517814,403.2844616709656,3.1401178057874404,128,128,
layer2.1.sn2,150,128,10000,406.20757383192165,409.1324676044445,2.9248937725228643,128,128,
layer2.1.sn2,175,128,10000,408.2853526043913,411.1077185836762,2.822365979284939,128,128,
layer2.1.sn2,200,128,10000,418.81817166072153,421.33694569910006,2.518774038378524,128,128,
layer2.1.sn2,225,128,10000,422.90599943883325,425.3041091393453,2.398109700512066,128,128,
layer2.1.sn2,250,128,10000,417.56612195570244,420.10987179285456,2.54374983715212,128,128,
layer2.1.sn2,275,128,10000,426.0572592024576,428.3790472741955,2.321788071737899,128,128,
layer2.1.sn2,300,128,10000,427.2766955955719,429.54023951036436,2.2635439147924785,128,128,
layer2.1.sn2,400,128,10000,437.19937140193895,439.21488374288293,2.0155123409439852,128,128,
layer2.1.sn2,500,128,10000,440.2018922143456,442.1287857393255,1.9268935249799028,128,128,
layer2.1.sn2,600,128,10000,441.278735581931,443.1812107122691,1.9024751303380754,128,128,
layer2.1.sn2,700,128,10000,444.5407088869339,446.37564684655104,1.8349379596171502,128,128,
layer2.1.sn2,800,128,10000,442.66730940230775,444.553661983902,1.886352581594224,128,128,
layer2.1.sn2,900,128,10000,443.43167646903953,445.3047515591903,1.8730750901507918,128,128,
layer3.0.sn1,0,256,10000,381.77677659653284,418.8262975396012,37.04952094306839,256,256,
layer3.0.sn1,5,256,10000,552.1743003730111,572.6075549132574,20.433254540246367,256,256,
layer3.0.sn1,10,256,10000,587.7482071126021,605.4052077261699,17.65700061356779,256,256,
layer3.0.sn1,20,256,10000,656.7533015705844,669.4250750282371,12.671773457652648,256,256,
layer3.0.sn1,30,256,10000,672.6818618038749,684.5908031100153,11.908941306140377,256,256,
layer3.0.sn1,40,256,10000,695.9343899129151,706.538181676893,10.603791763977938,256,256,
layer3.0.sn1,50,256,10000,716.7124518471769,726.2359059261823,9.523454079005433,256,256,
layer3.0.sn1,60,256,10000,711.1276743461248,721.0241065061147,9.8964321599899,256,256,
layer3.0.sn1,70,256,10000,732.0912940014149,741.048045197211,8.956751195796073,256,256,
layer3.0.sn1,80,256,10000,736.9519304426678,745.6949851166637,8.743054673995857,256,256,
layer3.0.sn1,90,256,10000,739.4173093904067,747.9043713332921,8.487061942885475,256,256,
layer3.0.sn1,100,256,10000,752.4434599838837,760.4097706036038,7.966310619720048,256,256,
layer3.0.sn1,125,256,10000,765.7862690216006,773.2209260967425,7.434657075141899,256,256,
layer3.0.sn1,150,256,10000,773.1047527305092,780.2702453120625,7.165492581553281,256,256,
layer3.0.sn1,175,256,10000,777.0754254461347,783.9264436209517,6.851018174817,256,256,
layer3.0.sn1,200,256,10000,794.1558437146241,800.5028170427768,6.3469733281526715,256,256,
layer3.0.sn1,225,256,10000,802.1474799232211,808.0010949867558,5.853615063534676,256,256,
layer3.0.sn1,250,256,10000,796.4687322343473,802.5777542828955,6.1090220485482405,256,256,
layer3.0.sn1,275,256,10000,813.4413940482899,819.0849841366867,5.643590088396763,256,256,
layer3.0.sn1,300,256,10000,824.9019120516557,829.9877595379057,5.085847486250032,256,256,
layer3.0.sn1,400,256,10000,840.8543953235751,845.3558254290066,4.501430105431496,256,256,
layer3.0.sn1,500,256,10000,858.5480898927456,862.502881106736,3.954791213990461,256,256,
layer3.0.sn1,600,256,10000,865.3362736576289,869.101628294242,3.7653546366130968,256,256,
layer3.0.sn1,700,256,10000,875.8407667864369,879.353403827134,3.5126370406970864,256,256,
layer3.0.sn1,800,256,10000,875.6716076736254,879.2189665166304,3.547358843004986,256,256,
layer3.0.sn1,900,256,10000,877.9010302519812,881.3918949890327,3.490864737051538,256,256,
layer3.0.sn2,0,256,10000,478.8048745634915,501.74401079461126,22.939136231119733,256,256,
layer3.0.sn2,5,256,10000,671.1212103628525,682.0740314102771,10.952821047424663,256,256,
